query,id,published,likes,replies,content,author_title,author_image,author_channel,author_is_verified,author_is_creator,author_is_artist
https://www.youtube.com/watch?v=PQ2WjtaPfXU,UgyeoSFIPYzHaAtF0k14AaABAg,2 hours ago,1,,Let me wait for the Fireship video on this.,@ggleouf22,https://yt3.ggpht.com/ytc/AIdro_llx1P3bRD3A-3DgGGxvIfbfYJVDAVJbqiYgknDlOM=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCHnG0SsRFHY37vSooSr8VyA,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=PQ2WjtaPfXU,UgzxQp0kpkZvUEkc_354AaABAg,1 hour ago,1,,What we all really need right now is another React Update and a newer Javascript framework.,@963seeker,https://yt3.ggpht.com/0n_fPvfr2tXrOwmW0ADKF-63P7JQ5HvELnrPdm3K_cv8sK57A723ItaDC1k-25WwrcZqP3ju7A=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCCNyl4H9TA75OTUYbllmcLg,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=PQ2WjtaPfXU,UgwbQlxeeQplA4KGq3d4AaABAg,1 hour ago,1,,I saw that comment about waiting for the Fireship video. And here I am.,@mykalimba,https://yt3.ggpht.com/ytc/AIdro_ncSJNOv8MXGvzZanGfEIPB3o1FyGKdjnmth0ySXyE=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCPsOF9gaiCqBPZV__nCJ6Iw,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=PQ2WjtaPfXU,Ugz5LKHRdy-ztviiZWl4AaABAg,31 minutes ago,1,,Gonna wait for the Fireship video on this one,@pj-wille,https://yt3.ggpht.com/C_FsxSPfrUuWB2trSqikQ0f-kiW3qiVI4ZNEGYnLtP0NaF04PUHTln-GqGvkyTDe3TrKJ4gw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCAR_2BUvBUcr1quYu6-kE4w,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=PQ2WjtaPfXU,UgysJJUH07w1fA23bst4AaABAg,27 minutes ago,1,,I can’t believe they would kick out fire ship from the MVP program. This is outrageous.,@boneless-yeet-1127,https://yt3.ggpht.com/ospQK7EUuxbueNDEvZleW34UsXdKnB7e9bnKYOXbqH6CD6kzjUnz1BmgJ4gl2E5svdIsZBcN=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCItok2M6mRhZohV-MtnN7hg,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=PQ2WjtaPfXU,UgwBZK3Bc_4BTPWG4ed4AaABAg,3 hours ago,1,2,"Microsoft created TypeScript as part of their ""Embrace, Extend, Extinguish"" process. They wanted to ""own"" front-end web development. Fortunately, native JavaScript has improved to the point where we don't need TypeScript.",@StarcoreLabs,https://yt3.ggpht.com/L81PfzZjWiatihrY9Yq9_mg9Xz0WjJG1kOvKI4XKtjd-gEU3o8Uw8-VvIb5rzLt54eF6CppkeQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCsHmf-UVuq3xGBLMezLLBAQ,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=PQ2WjtaPfXU,UgxGBtSAWijM4Jxa96x4AaABAg,3 hours ago,1,,Anders looks old. I was there in the 90s when he was zooming around Scott's Valley in his Nissan 300zx,@joejazdz,https://yt3.ggpht.com/_VdS_gLSCzpfT5cn2bwO5x2L8tIFu78u8eUti-Cu6LSJJTq_9fW23KNKZsTgqmBL3VO74c6J=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC2-q2s_2VFb3iaTCSzGe7Sg,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=PQ2WjtaPfXU,Ugz7ABBYnaYk2I3CLQV4AaABAg,4 hours ago,1,,let me wait for the fireship video,@dj_adrivoe,https://yt3.ggpht.com/ZPYUEVWbSDU7s9cjWLkoVDDPDlAEs-h_LNY1FioOdj3jF3w08LkLTgpq8C2iBWoZypJjGeWi=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCZNpdB41bch7NhXhhim-nwA,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=PQ2WjtaPfXU,UgwCfPV6hmMtBRbPryh4AaABAg,4 hours ago,3,,"I'm glad that TS can see the law of effective programming. Everything worth writing will be written in JavaScript, everything worth maintaining will be written in TypeScript, everything that has survived all possible non-technical requests will be written in Go, and everything that needs to be done perfectly as it is known to be done will be written in C. TS's compiler is just at that age now.",@Zayelion,https://yt3.ggpht.com/ytc/AIdro_ns6Xj-SzfRXuXAjf1B54QQEv25ETIo8-P0IW_1Gxg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCppCc4Ucq1qtj4o7MhBNetg,FALSE,FALSE,FALSE
https://www.youtube.com/watch?v=PQ2WjtaPfXU,UgwKAXzdarS9lUfb4Nh4AaABAg,3 hours ago,2,,"Of course it is being rewritten, no backdoors.",@noanyobiseniss7462,https://yt3.ggpht.com/ytc/AIdro_leUKz5h3gaGqZBU296IBrBMBnw0PZwreLYAN5WlIRha5U=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCl6KviPengjeS9M370NDqMg,FALSE,FALSE,FALSE
